ID,RBD,LONGITUD,LATITUD,NOM_RBD
528,666,-70.71102900000000,-30.035469000000000,ESCUELA BASICA LUCILA GODOY ALCAYAGA
529,668,-70.66082800000000,-30.040661000000000,ESCUELA EDMUNDO VIDAL CARDENAS
530,669,-70.77261400000000,-30.030970000000000,ESCUELA NEFTALI REYES
531,671,-70.56150800000000,-29.979719000000000,ESCUELA RIOS DE ELQUI
532,672,-70.62786900000000,-30.019670000000000,ESCUELA DE DIAGUITAS JUAN TORRES M.
533,673,-70.68939200000000,-30.025721000000000,ESCUELA JOSE ABELARDO NUNEZ
534,674,-70.79560900000000,-29.812000000000000,ESCUELA DE VINITA ALTA
536,676,-70.81199599999999,-30.028210000000000,ESCUELA DE SAN CARLOS
537,678,-70.81503300000000,-30.003281000000000,ESCUELA AMELIA BARAHONA MUJICA
538,680,-70.97280100000000,-29.965330000000000,ESCUELA FEDERICO BARNES PAYNE
539,681,-70.66895300000000,-30.023001000000000,ESCUELA DE EL ARENAL
540,682,-70.95216400000000,-29.977671000000000,ESCUELA DAGOBERTO CAMPOS NUNEZ
541,683,-70.99461400000000,-29.991890000000000,ESCUELA DE LA CALERA
542,685,-70.80997657,-30.0255024,ESCUELA DE LA POLVADA
543,686,-70.48555000000000,-30.182261000000000,ESCUELA BÁSICA MARIO AQUILES RODRIGUEZ
544,687,-70.38739800000000,-29.848360000000000,ESCUELA DE HUANTA
545,688,-70.52118700000000,-29.897301000000000,ESCUELA DE CHAPILCA
546,689,-70.53649900000001,-29.951309000000000,ESCUELA DE VARILLAR
547,690,-70.70778700000000,-30.032721000000000,COLEGIO ANTONIO VARAS
548,691,-70.51748700000000,-30.027321000000000,ESCUELA MUNICIPAL CIELO CLARO--PAIHUANO
549,692,-70.49391199999999,-30.123899000000000,ESCUELA JERONIMO GODOY VILLANUEVA
550,693,-70.46853600000000,-30.033180000000000,ESCUELA BASICA HECTOR MANUEL HERNANDEZ
551,694,-70.49497200000000,-30.093800000000000,ESCUELA GABRIELA MISTRAL
552,695,-70.52883900000000,-29.989500000000000,ESCUELA BASICA SANTIAGO BUERAS A.
553,696,-70.48719800000001,-30.203400000000000,ESCUELA MUNICIPAL LA ORTIGA
554,697,-70.49434700000000,-30.231510000000000,ESCUELA MUNICIPAL ALCOHUAZ
555,699,-70.40619700000001,-30.142639000000000,ESCUELA MARIA ISABEL PERALTA P.
556,701,-71.20536800000001,-30.603840000000000,LICEO ESTELA AVILA DE PERRY
557,704,-71.20482600000000,-30.602280000000000,LICEO ALEJANDRO ALVAREZ JOFRE
558,705,-71.20558900000000,-30.598900000000000,LICEO POLITECNICO DE OVALLE
559,706,-71.20143100000000,-30.606279000000000,COLEGIO FRAY JORGE
560,707,-71.20330800000001,-30.605101000000000,ESCUELA BASICA HELENE LANG
561,708,-71.19027699999999,-30.601959000000000,ESCUELA ANTONIO TIRADO LANAS
562,709,-71.19798299999999,-30.590639000000000,ESCUELA BASICA OSCAR ARAYA MOLINA
563,710,-71.21056400000001,-30.602510000000000,ESCUELA BASICA JOSE TOMAS OVALLE B.
564,711,-71.19056700000000,-30.596340000000000,ESCUELA GUARDIAMARINA ERNESTO RIQUELME V
565,712,-71.20889300000000,-30.605511000000000,ESCUELA BÁSICA ARTURO ALESSANDRI PALMA
566,713,-71.40979799999999,-30.580601000000000,ESCUELA ARTURO VILLALON SIEULANNE
567,714,-71.19349699999999,-30.593491000000000,ESCUELA BASICA VISTA HERMOSA
568,715,-71.23848700000001,-30.643970000000000,ESCUELA BASICA BERNARDO O¦HIGGINS RIQUELME
569,716,-71.12294000000000,-30.629580000000000,ESC.PADRE JOSEPH BENEDIKT STEGMEIER
570,718,-71.28379800000000,-30.637529000000000,ESCUELA MARCOS MACUADA OGALDE
571,719,-71.20037842000001,-30.607677460000000,COLEGIO YUNGAY
572,721,-71.18287700000000,-30.590981000000000,ESCUELA BASICA FLORENCIO ESPINOZA LOPEZ
573,722,-71.16446700000000,-30.568769000000000,ESC. HEBERTO VELAZQUEZ VELAZQUEZ
574,723,-71.27207900000001,-30.560940000000000,ESCUELA VILLORRIO EL TALHUEN
575,724,-71.65978200000001,-31.144341000000000,ESCUELA BASICA CALETA EL MAITEN
576,725,-71.21608000000001,-30.626280000000000,ESCUELA EL CRISOL
577,726,-71.05444300000001,-30.617029000000000,ESCUELA QUEBRADA SECA DE SOTAQUI
578,727,-71.02140000000000,-30.716400000000000,ESCUELA LA PALOMA
579,728,-71.46366100000000,-30.629391000000000,ESCUELA EL ALGARROBO
580,729,-71.44003300000000,-30.573681000000000,ESCUELA BASICA LOS OLIVOS
581,730,-71.36818700000001,-30.618000000000000,ESCUELA BASICA LUCIA NUNEZ DE LA CUADRA
582,731,-71.32849899999999,-30.629841000000000,ESCUELA EL TRAPICHE
584,733,-71.44796800000000,-30.537189000000000,ESCUELA PADRE DAMIAN HEREDIA
585,735,-71.37391700000001,-30.559919000000000,ESCUELA LA QUIROGA
586,736,-71.40212200000001,-30.613791000000000,ESCUELA BASICA LOS SOSSAS
587,737,-71.15013100000000,-30.563919000000000,ESCUELA BASICA VALENTIN LETELIER
590,740,-71.49597900000001,-30.606979000000000,ESCUELA PEDRO ENRIQUE ALFONSO BARRIOS
592,743,-71.07771300000000,-30.668949000000000,ESCUELA CARACHILLA
593,744,-71.51658600000000,-30.663139000000000,ESCUELA ORURO
594,745,-71.04699700000000,-30.687330000000000,ESCUELA LA HIGUERA DE PALOMA
595,746,-71.67060900000000,-30.532021000000000,ESCUELA EL SAUCE
596,747,-71.25965900000000,-30.580830000000000,ESCUELA CERRO TAMAYA
597,749,-71.10466000000000,-30.508921000000000,ESCUELA TRANQUE RECOLETA
598,750,-71.16607700000000,-30.545500000000000,ESCUELA ELVIRA DEL CARMEN OCHOA AVILES
599,752,-71.11998000000000,-30.529360000000000,ESCUELA VALLE HERMOSO
600,753,-71.15141300000001,-30.499491000000000,ESC.BAS.JUAN PABLO ARTIGUES PENAFIEL
601,754,-71.10755200000000,-30.659361000000000,ESCUELA LA ARAUCANA
602,755,-71.10196700000000,-30.567280000000000,ESCUELA CANELILLA
603,756,-71.15696699999999,-30.604059000000000,ESCUELA SANTA CATALINA
604,757,-71.10768100000000,-30.643450000000000,ESCUELA BASICA EL GUINDO
605,758,-71.20320100000001,-30.711889000000000,ESCUELA CORDILLERA
606,759,-71.48557300000000,-30.517700000000000,ESCUELA BASICA GASPAR CABRALES
607,760,-71.55555699999999,-30.580059000000000,ESCUELA LAS LOMAS DE PUNILLA
609,762,-71.69927199999999,-30.741631000000000,ESCUELA CALETA EL TORO
610,763,-71.20382700000000,-30.599380000000000,COLEGIO SAN JUAN BAUTISTA
611,766,-71.19302399999999,-30.597179000000000,COLEGIO SANTA MARIA EUFRASIA
612,767,-71.19837200000001,-30.604361000000000,COLEGIO PARTICULAR GABRIELA MISTRAL
613,768,-71.19619800000000,-30.603609000000000,COLEGIO LA PROVIDENCIA
614,769,-71.19229100000000,-30.600830000000000,COLEGIO SAN VIATOR
615,770,-71.21720999999999,-30.611938000000000,COLEGIO AMALIA ERRAZURIZ
616,771,-71.10317999999999,-30.729561000000000,ESCUELA PARTICULAR EL ARRAYAN
617,772,-71.18802599999999,-30.579281000000000,LICEO AGRICOLA DE OVALLE TADEO PERRY BARN
618,773,-70.94653300000000,-30.409420000000000,ESCUELA SAMO ALTO
619,774,-70.87113200000000,-30.394211000000000,COLEGIO PICHASCA
620,775,-70.84413900000000,-30.382299000000000,ESCUELA BASICA DE FUNDINA
621,776,-70.88804600000000,-30.402040000000000,ES.BAS.SAN PEDRO DE RIO HURTADO
622,777,-70.63268300000000,-30.284571000000000,ESC.BASICA HIJOS DE EL CHANAR
623,778,-70.59757200000000,-30.385250000000000,ESCUELA BASICA LAS BREAS
624,780,-71.03410300000000,-30.473431000000000,ESCUELA BASICA TABAQUEROS
625,783,-71.15844700000000,-30.295210000000000,ESCUELA DOCTOR JOSE LUIS ARRANO
626,784,-70.98281900000001,-30.429840000000000,ESCUELA BASICA HUAMPULLA
627,785,-70.92075300000000,-30.369989000000000,ESCUELA BASICA LOS MAITENES DE SAMO ALTO
628,786,-70.85056299999999,-30.448240000000000,ESCUELA BASICA LA HUERTA
